,name,html_url,description,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,license,topics,default_branch
0,nbviewer,https://github.com/jupyter/nbviewer,nbconvert as a web service: Render Jupyter Notebooks as static web pages,https://nbviewer.jupyter.org,12473,2015,2015,Python,523,171,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}","['jupyter', 'jupyter-notebook', 'nbconvert']",main
1,nbconvert-examples,https://github.com/jupyter/nbconvert-examples,Examples that illustrate how nbconvert can be used,,1678,149,149,Jupyter Notebook,82,9,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
2,colaboratory,https://github.com/jupyter/colaboratory,"[deprecated] Jupyter CoLaboratory, goto google colab now",https://colab.research.google.com,1063,734,734,JavaScript,126,0,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
3,jupyter.github.io,https://github.com/jupyter/jupyter.github.io,Project Jupyter's home on the World Wide Web,https://jupyter.org,28975,154,154,HTML,157,18,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}","['homepage', 'jekyll', 'jupyter', 'jupyter-notebook', 'jupyterhub', 'jupyterlab', 'ruby', 'static-site-generator']",master
4,design,https://github.com/jupyter/design,Design related materials for Project Jupyter,,52446,77,77,HTML,57,18,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
5,nbcache,https://github.com/jupyter/nbcache,Notebook Caching layer in Docker,,3,5,5,,13,1,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
6,nbmanager,https://github.com/jupyter/nbmanager,View and stop running IPython notebook servers,,561,50,50,Python,18,3,,[],master
7,nbgrader,https://github.com/jupyter/nbgrader,A system for assigning and grading notebooks,https://nbgrader.readthedocs.io/,27857,1124,1124,Python,314,206,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}","['grading', 'jupyter', 'jupyter-notebook', 'jupyterhub', 'nbgrader', 'teaching']",main
8,tmpnb,https://github.com/jupyter/tmpnb,Creates temporary Jupyter Notebook servers using Docker containers. [DEPRECATED - See BinderHub project],https://github.com/jupyterhub/binderhub,790,527,527,JavaScript,130,46,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
9,terminado,https://github.com/jupyter/terminado,Terminals served by tornado websockets,http://terminado.readthedocs.org/en/latest/,474,313,313,Python,82,26,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],main
10,nature-demo,https://github.com/jupyter/nature-demo,Materials for the November 2014 Nature Article,,3992,12,12,Jupyter Notebook,19,2,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
11,jupyter-drive,https://github.com/jupyter/jupyter-drive,Google drive for jupyter notebooks,,572,413,413,TypeScript,78,26,"{'key': 'bsd-2-clause', 'name': 'BSD 2-Clause ""Simplified"" License', 'spdx_id': 'BSD-2-Clause', 'url': 'https://api.github.com/licenses/bsd-2-clause', 'node_id': 'MDc6TGljZW5zZTQ='}",[],master
